Group,Label,Description,Format,Hex,Instruction,Bytes,Cycles,Aliases
Ports,OUT,Output to Port,"OUT imm8, AL",E6 ii,11100110 iiiiiiii,2,6,-
Ports,OUT,Output to Port,"OUT imm8, AX",E7 ii,11100111 iiiiiiii,2,6,-
Ports,OUTSB,Output String to Port,OUTSB,6E,01101110,1,6,OUTM
Ports,OUTSW,Output String to Port,OUTSW,6F,01101111,1,6,OUTM
Stack,POP,Pop Value From the Stack,POP mem16,8F /0,10001111 oo000mmm,2+,3,-
Stack,POP,Pop Value From the Stack,POP reg16,5x,01011xxx,1,1,-
Stack,POP,Pop Value From the Stack,POP reg16,8F /0,10001111 11000mmm,2,1,-
Stack,POP,Pop Value From the Stack,POP sreg16,xx,000xx111,1,3,-
Stack,POPA,Pop All General Registers,POPA,61,01100001,1,8,POP
Stack,POPF,Pop Stack Into EFLAGS,POPF,9D,10011101,1,3,POP
Stack,PUSH,Push Word Onto the Stack,PUSH simm8,6A ii,01101010 iiiiiiii,2,1,-
Stack,PUSH,Push Word Onto the Stack,PUSH imm16,68 ii ii,01101000 iiiiiiii iiiiiiii,3,1,-
Stack,PUSH,Push Word Onto the Stack,PUSH mem16,FF /6,11111111 oo110mmm,2+,2,-
Stack,PUSH,Push Word Onto the Stack,PUSH reg16,5x,01010xxx,1,1,-
Stack,PUSH,Push Word Onto the Stack,PUSH reg16,FF /6,11111111 11110mmm,2,1,-
Stack,PUSH,Push Word Onto the Stack,PUSH sreg16,xx,000xx110,1,2,-
Stack,PUSHA,Push All General Registers,PUSHA,60,01100000,1,9,PUSH
Stack,PUSHF,Push EFLAGS Onto Stack,PUSHF,9C,10011100,1,2,PUSH
Shift,RCL,Rotate,"RCL mem8, 1",D0 /2,11010000 oo010rm,2+,3,ROLC
Shift,RCL,Rotate,"RCL mem8, CL",D2 /2,11010010 oo010rm,2+,5,ROLC
Shift,RCL,Rotate,"RCL mem8, imm8",C0 /2 ii,11000000 oo010mmm iiiiiiii,3+,5,ROLC
Shift,RCL,Rotate,"RCL mem16, 1",D1 /2,11010001 oo010rm,2+,3,ROLC
Shift,RCL,Rotate,"RCL mem16, CL",D3 /2,11010011 oo010rm,2+,5,ROLC
Shift,RCL,Rotate,"RCL mem16, imm8",C1 /2 ii,11000001 oo010mmm iiiiiiii,3+,5,ROLC
Shift,RCL,Rotate,"RCL reg8, 1",D0 /2,11010000 11010rm,2,1,ROLC
Shift,RCL,Rotate,"RCL reg8, CL",D2 /2,11010010 11010rm,2,3,ROLC
Shift,RCL,Rotate,"RCL reg8, imm8",C0 /2 ii,11000000 11010mmm iiiiiiii,3,3,ROLC
Shift,RCL,Rotate,"RCL reg16, 1",D1 /2,11010001 11010rm,2,1,ROLC
Shift,RCL,Rotate,"RCL reg16, CL",D3 /2,11010011 11010rm,2,3,ROLC
Shift,RCL,Rotate,"RCL reg16, imm8",C1 /2 ii,11000001 11010mmm iiiiiiii,3,3,ROLC
Shift,RCR,Rotate,"RCR mem8, 1",D0 /3,11010000 oo011rm,2+,3,RORC
Shift,RCR,Rotate,"RCR mem8, CL",D2 /3,11010010 oo011rm,2+,5,RORC
Shift,RCR,Rotate,"RCR mem8, imm8",C0 /3 ii,11000000 oo011mmm iiiiiiii,3+,5,RORC
